year,minister,ngram,count,score
2018,Arturo Zaldívar Lelo de Larrea,rivera leon,18,0.010030622379935341
2018,Arturo Zaldívar Lelo de Larrea,segundo penal,15,0.00835885198327945
2018,Arturo Zaldívar Lelo de Larrea,mayoria disidente,12,0.006687081586623561
2018,Arturo Zaldívar Lelo de Larrea,penal tercer,10,0.005572567988852966
2018,Arturo Zaldívar Lelo de Larrea,unanimidad jose,12,0.004674069445597581
2018,Arturo Zaldívar Lelo de Larrea,eduardo lopez,8,0.0044580543910823734
2018,Arturo Zaldívar Lelo de Larrea,2004 unanimidad,8,0.0044580543910823734
2018,Arturo Zaldívar Lelo de Larrea,disidente eduardo,7,0.0039007975921970767
2019,Arturo Zaldívar Lelo de Larrea,jorge benjamin,60,0.019895608522413993
2019,Arturo Zaldívar Lelo de Larrea,benjamin martinez,60,0.019895608522413993
2019,Arturo Zaldívar Lelo de Larrea,leyes normas,33,0.010942584687327696
2019,Arturo Zaldívar Lelo de Larrea,normas reglamentos,33,0.010942584687327696
2019,Arturo Zaldívar Lelo de Larrea,facultan trabajo,33,0.010942584687327696
2019,Arturo Zaldívar Lelo de Larrea,humanos constitucionales,33,0.010942584687327696
2019,Arturo Zaldívar Lelo de Larrea,morales jose,31,0.010279397736580561
2019,Arturo Zaldívar Lelo de Larrea,profesores jorge,30,0.009947804261206996
2019,Arturo Zaldívar Lelo de Larrea,martinez zendejas,30,0.009947804261206996
2019,Arturo Zaldívar Lelo de Larrea,zendejas miguel,30,0.009947804261206996
2020,Arturo Zaldívar Lelo de Larrea,cualquier concepto,120,0.032366195520591015
2020,Arturo Zaldívar Lelo de Larrea,egresos federacion,90,0.02427464664044326
2020,Arturo Zaldívar Lelo de Larrea,federacion correspondiente,90,0.02427464664044326
2020,Arturo Zaldívar Lelo de Larrea,fiscal 2019,66,0.01780140753632506
2020,Arturo Zaldívar Lelo de Larrea,fiscal 2018,66,0.01780140753632506
2020,Arturo Zaldívar Lelo de Larrea,pagos entendiendo,60,0.016183097760295508
2020,Arturo Zaldívar Lelo de Larrea,entendiendo concepto,60,0.016183097760295508
2020,Arturo Zaldívar Lelo de Larrea,concepto representen,60,0.016183097760295508
2020,Arturo Zaldívar Lelo de Larrea,representen ingresos,60,0.016183097760295508
2020,Arturo Zaldívar Lelo de Larrea,ingresos cualquier,60,0.016183097760295508
2021,Arturo Zaldívar Lelo de Larrea,2019 actualidad,8,0.0045404685097245176
2021,Arturo Zaldívar Lelo de Larrea,utiliza institucion,7,0.003972909946008953
2021,Arturo Zaldívar Lelo de Larrea,institucion haya,7,0.003972909946008953
2021,Arturo Zaldívar Lelo de Larrea,haya utilizado,7,0.003972909946008953
2021,Arturo Zaldívar Lelo de Larrea,cuanto termino,7,0.003972909946008953
2021,Arturo Zaldívar Lelo de Larrea,ampliacion demanda,6,0.003405351382293388
2021,Arturo Zaldívar Lelo de Larrea,definicion utiliza,6,0.003405351382293388
2021,Arturo Zaldívar Lelo de Larrea,jose gonzalo,5,0.0028377928185778236
2021,Arturo Zaldívar Lelo de Larrea,gonzalo guerrero,5,0.0028377928185778236
2021,Arturo Zaldívar Lelo de Larrea,guerrero zepeda,5,0.0028377928185778236
2022,Arturo Zaldívar Lelo de Larrea,bebidas alimentos,11,0.005079910955261634
2022,Arturo Zaldívar Lelo de Larrea,alimentos proporcionados,11,0.005079910955261634
2022,Arturo Zaldívar Lelo de Larrea,zamora yague,7,0.0032326706078937666
2022,Arturo Zaldívar Lelo de Larrea,sociales presidente,7,0.0032326706078937666
2022,Arturo Zaldívar Lelo de Larrea,cosa juzgada,9,0.0029051225856211197
2022,Arturo Zaldívar Lelo de Larrea,federico zamora,6,0.0027708605210518002
2022,Arturo Zaldívar Lelo de Larrea,maestra nicole,6,0.0027708605210518002
2022,Arturo Zaldívar Lelo de Larrea,nicole elizabeth,6,0.0027708605210518002
2022,Arturo Zaldívar Lelo de Larrea,elizabeth illand,6,0.0027708605210518002
2022,Arturo Zaldívar Lelo de Larrea,illand murga,6,0.0027708605210518002
2023,Arturo Zaldívar Lelo de Larrea,alonso lara,60,0.017213444502821175
2023,Arturo Zaldívar Lelo de Larrea,lara bravo,60,0.017213444502821175
2023,Arturo Zaldívar Lelo de Larrea,asesores auxiliares,22,0.006311596317701097
2023,Arturo Zaldívar Lelo de Larrea,auxiliares cargo,22,0.006311596317701097
2023,Arturo Zaldívar Lelo de Larrea,alejandra rabasa,20,0.005737814834273725
2023,Arturo Zaldívar Lelo de Larrea,rabasa salinas,20,0.005737814834273725
2023,Arturo Zaldívar Lelo de Larrea,historial navegador,16,0.0045902518674189804
2023,Arturo Zaldívar Lelo de Larrea,navegador internet,16,0.0045902518674189804
2023,Arturo Zaldívar Lelo de Larrea,internet equipo,16,0.0045902518674189804
2023,Arturo Zaldívar Lelo de Larrea,equipo computo,16,0.0045902518674189804
2024,Arturo Zaldívar Lelo de Larrea,zarate morales,12,0.0110259461755501
2024,Arturo Zaldívar Lelo de Larrea,finalidad conversatorios,8,0.007350630783700067
2024,Arturo Zaldívar Lelo de Larrea,dichos eventos,8,0.007350630783700067
2024,Arturo Zaldívar Lelo de Larrea,proposito conversatorios,8,0.007350630783700067
2024,Arturo Zaldívar Lelo de Larrea,morales derecho,6,0.00551297308777505
2024,Arturo Zaldívar Lelo de Larrea,humano reconocido,6,0.00551297308777505
2024,Arturo Zaldívar Lelo de Larrea,reconocido politica,6,0.00551297308777505
2024,Arturo Zaldívar Lelo de Larrea,politica 122,6,0.00551297308777505
2024,Arturo Zaldívar Lelo de Larrea,122 lgtaip,6,0.00551297308777505
2024,Arturo Zaldívar Lelo de Larrea,lgtaip permito,6,0.00551297308777505
2025,Arturo Zaldívar Lelo de Larrea,unanimidad leopoldo,4,0.01686875526002964
2025,Arturo Zaldívar Lelo de Larrea,leopoldo ceron,4,0.01686875526002964
2025,Arturo Zaldívar Lelo de Larrea,ceron tinajero,4,0.01686875526002964
2025,Arturo Zaldívar Lelo de Larrea,tinajero secretaria,4,0.01686875526002964
2025,Arturo Zaldívar Lelo de Larrea,secretaria irma,4,0.01686875526002964
2025,Arturo Zaldívar Lelo de Larrea,irma emigdia,4,0.01686875526002964
2025,Arturo Zaldívar Lelo de Larrea,emigdia gonzalez,4,0.01686875526002964
2025,Arturo Zaldívar Lelo de Larrea,gonzalez velazquez,4,0.01686875526002964
2025,Arturo Zaldívar Lelo de Larrea,cinco luis,4,0.01686875526002964
2025,Arturo Zaldívar Lelo de Larrea,doblado secretaria,4,0.01686875526002964
2026,Arturo Zaldívar Lelo de Larrea,recurso promovido,1,0.17712193023031123
2026,Arturo Zaldívar Lelo de Larrea,promovido quejosos,1,0.17712193023031123
2026,Arturo Zaldívar Lelo de Larrea,quejosos recurrentes,1,0.17712193023031123
2026,Arturo Zaldívar Lelo de Larrea,recurrentes aperturo,1,0.17712193023031123
2026,Arturo Zaldívar Lelo de Larrea,aperturo 237/2014,1,0.17712193023031123
2026,Arturo Zaldívar Lelo de Larrea,237/2014 resolvio,1,0.17712193023031123
2026,Arturo Zaldívar Lelo de Larrea,resolvio otrora,1,0.17712193023031123
2026,Arturo Zaldívar Lelo de Larrea,otrora primera,1,0.17712193023031123
2026,Arturo Zaldívar Lelo de Larrea,primera bajo,1,0.09261329264045663
2026,Arturo Zaldívar Lelo de Larrea,bajo arturo,1,0.0704839024518581
2017,Arístides Rodrigo Guerrero García,derivado controversia,8,0.006779786803074114
2017,Arístides Rodrigo Guerrero García,unidades inversion,6,0.005084840102305586
2017,Arístides Rodrigo Guerrero García,aislada civil,8,0.004738867611141995
